timestamp,activity,username,source_ip,action,result
2023-03-14 22:13:19,OrderPlaced,longhenry,111.164.97.214,Success,Failed
2023-07-23 05:46:39,ProductView,riceerin,119.142.25.187,Success,Success
2023-05-10 09:44:46,AccessDenied,amy55,85.143.163.201,Failed,Failed
2023-03-13 19:03:10,Login,susanhart,25.33.154.55,Success,Failed
2023-01-22 23:23:07,AccessDenied,charles06,28.80.229.138,Failed,Failed
2023-07-25 03:41:42,OrderPlaced,emily29,82.247.231.23,Failed,Failed
2023-08-06 14:37:52,AccessDenied,qgray,41.7.25.51,Failed,Failed
2023-02-06 11:00:18,OrderPlaced,dawn45,148.163.62.156,Success,Failed
2023-07-12 12:06:05,OrderPlaced,jstokes,158.75.57.57,Success,Failed
2023-02-21 14:46:28,OrderPlaced,deannajames,216.43.27.34,Failed,Failed
2023-04-18 16:32:17,AccessDenied,garrettrobin,162.226.174.23,Failed,Success
2023-01-21 09:46:36,AccessDenied,owalsh,1.202.84.190,Success,Failed
2023-04-08 00:16:41,ProductView,smalljacob,188.233.106.158,Failed,Success
2023-06-19 12:50:33,ProductView,michaelgarrett,223.39.15.186,Failed,Success
2023-05-21 00:26:42,Login,ejohnson,91.137.153.226,Failed,Failed
2023-03-13 02:57:55,Login,andreathomas,197.125.139.216,Failed,Success
2023-08-07 08:21:53,Login,rcalderon,138.23.188.220,Failed,Failed
2023-05-06 20:14:19,AccessDenied,salazarshaun,2.26.20.67,Failed,Failed
2023-07-29 07:29:06,ProductView,jamessmith,46.94.154.171,Success,Success
2023-02-11 05:51:58,OrderPlaced,gregorymcmahon,21.64.38.97,Success,Failed
2023-01-25 07:35:07,ProductView,zsheppard,166.16.220.249,Failed,Success
2023-01-05 15:43:33,ProductView,brandon42,17.185.216.149,Failed,Success
2023-06-04 11:32:37,ProductView,alexis64,112.217.112.210,Success,Success
2023-05-03 14:45:43,AccessDenied,leah17,197.111.83.142,Success,Success
2023-03-22 03:59:11,Login,lbartlett,116.159.244.246,Success,Success
2023-06-11 16:51:10,OrderPlaced,florescharles,125.12.103.23,Failed,Success
2023-04-05 06:16:56,OrderPlaced,fraziershelia,198.113.71.47,Failed,Success
2023-03-21 11:14:10,Login,sarah64,45.83.106.200,Failed,Success
2023-07-19 07:44:06,OrderPlaced,franceswhite,122.100.111.34,Success,Failed
2023-08-05 07:21:57,AccessDenied,steven76,112.136.228.69,Success,Success
2023-03-28 18:51:55,Login,xgoodwin,165.198.58.22,Failed,Failed
2023-01-09 09:27:54,ProductView,schmidtkimberly,177.128.194.143,Failed,Success
2023-07-15 14:41:21,OrderPlaced,raytheresa,132.104.105.174,Success,Success
2023-06-21 08:43:08,AccessDenied,howardtiffany,84.14.27.214,Failed,Success
2023-03-22 16:55:33,OrderPlaced,thompsonlee,10.128.22.24,Failed,Success
2023-02-01 09:58:50,ProductView,jessica30,3.121.37.235,Success,Success
2023-01-02 14:56:38,Login,hsanchez,32.4.244.242,Failed,Success
2023-02-05 08:36:08,AccessDenied,ngalvan,146.120.44.62,Success,Success
2023-05-09 07:32:55,Login,michael44,220.69.110.65,Failed,Success
2023-02-02 20:37:13,Login,lyonsalexander,55.247.60.207,Failed,Success
2023-07-21 00:52:10,Login,jeffreysantos,173.225.195.143,Failed,Failed
2023-04-01 23:54:14,ProductView,elizabeth80,75.236.41.39,Success,Success
2023-04-21 03:07:55,Login,evannelson,152.120.238.6,Failed,Failed
2023-06-30 20:27:49,ProductView,heathermartinez,154.14.53.245,Success,Success
2023-03-15 06:52:06,Login,vjohnson,56.199.77.148,Success,Failed
2023-07-01 14:42:18,AccessDenied,rebeccaberry,116.81.116.138,Success,Success
2023-04-16 21:49:51,Login,tcannon,28.101.71.244,Failed,Failed
2023-01-08 12:11:24,Login,debra57,38.162.236.44,Success,Success
2023-03-04 22:53:55,Login,gvazquez,154.96.226.215,Failed,Failed
2023-06-17 16:20:04,ProductView,tmoore,27.183.156.83,Success,Failed
2023-03-30 11:23:40,AccessDenied,dwilson,41.118.204.237,Failed,Failed
2023-04-08 15:02:42,AccessDenied,smullins,85.77.218.43,Success,Failed
